대분류,소분류,품목,최종확인 년도,분류코드,개수,관리번호,자산번호,제조사,모델명,취득일,취득가,위치,세부위치,구분,책상 H-DE,의자 H-HM,서랍 H-DR
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,10.0,001 ~ 010,H-HM-001 ~ 010,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,39F 사무실,-,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,52.0,011 ~ 062,H-HM-011 ~ 062,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,38F 사무실,개발3팀,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,12.0,063 ~ 074,H-HM-063 ~ 074,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,38F 사무실,"서버팀, 개발실",,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,59.0,075 ~ 133,H-HM-75 ~ 133,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,38F 사무실,개발 2팀,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,46.0,134 ~ 180,H-HM-134 ~ 180,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,39F 사무실,사업개발실,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,29.0,181 ~ 210,H-HM-181 ~ 210,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,39F 사무실,사업실,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,13.0,211 ~ 223,H-HM-211 ~ 223,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,39F 사무실,경영기획실,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,83.0,224 ~ 304,H-HM-224 ~ 304,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,40F 사무실,플투개발실,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,75.0,305 ~ 379,H-HM-305 ~ 379,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,40F 사무실,QA팀,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 의자,2026년도,HM,75.0,305 ~ 379,H-HM-305 ~ 379,허먼밀러,AER1B22HW-0002,2023-08-01 00:00:00,1148400,40F 사무실,QA팀,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,10.0,001 ~ 010,H-DE-001 ~ 010,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,39F 사무실,-,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,52.0,011 ~ 062,H-DE-011 ~ 062,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,38F 사무실,개발3팀,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,12.0,063 ~ 074,H-DE-063 ~ 074,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,38F 사무실,"서버팀, 개발실",,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,59.0,075 ~ 133,H-DE-075 ~ 133,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,38F 사무실,개발 2팀,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,46.0,134 ~ 180,H-DE-134 ~ 180,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,39F 사무실,사업개발실,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,29.0,181 ~ 210,H-DE-181 ~210,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,39F 사무실,사업실,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,13.0,211 ~ 223,H-DE-211 ~ 223,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,39F 사무실,경영기획실,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,83.0,224 ~ 304,H-DE-224 ~ 304,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,40F 사무실,플투개발실,,,,
1. 해긴 비품 리스트,사무실&회의실,사무용 데스크,2026년도,DE,75.0,305 ~ 379,H-DE-305 ~ 379,퍼시스,FDD016CN,2023-08-01 00:00:00,236500,40F 사무실,QA팀,,,,
1. 해긴 비품 리스트,사무실&회의실,이동 서랍,2026년도,DR,10.0,001 ~ 010,H-DR-001 ~ 010,퍼시스,FDP0303 ,2023-08-01 00:00:00,118800,39F 사무실,-,,,,
1. 해긴 비품 리스트,사무실&회의실,이동 서랍,2026년도,DR,52.0,011 ~ 062,H-DR-011 ~ 062,퍼시스,FDP0303 ,2023-08-01 00:00:00,118800,38F 사무실,개발3팀,,,,
1. 해긴 비품 리스트,사무실&회의실,이동 서랍,2026년도,DR,12.0,063 ~ 074,H-DR-063 ~ 074,퍼시스,FDP0303,2023-08-01 00:00:00,118800,38F 사무실,"서버팀, 개발실",,,,
1. 해긴 비품 리스트,사무실&회의실,이동 서랍,2026년도,DR,59.0,075 ~ 133,H-DR-075 ~ 133,퍼시스,FDP0303,2023-08-01 00:00:00,118800,38F 사무실,개발 2팀,,,,
1. 해긴 비품 리스트,사무실&회의실,이동 서랍,2026년도,DR,46.0,134 ~ 180,H-DR-134 ~ 180,퍼시스,FDP0303,2023-08-01 00:00:00,118800,39F 사무실,사업개발실,,,,
1. 해긴 비품 리스트,사무실&회의실,이동 서랍,2026년도,DR,29.0,181 ~ 210,H-DR-181 ~ 210,퍼시스,FDP0303,2023-08-01 00:00:00,118800,39F 사무실,사업실,,,,
